2025-11-21 14:50:09 - analyzer - DEBUG - 从班级名称 '一年级94班' 中提取到年级: 1
2025-11-21 14:50:09 - analyzer - DEBUG - 从班级名称 '一年级95班' 中提取到年级: 1
2025-11-21 14:50:09 - analyzer - DEBUG - 从班级名称 '一年级96班' 中提取到年级: 1
2025-11-21 14:50:09 - analyzer - DEBUG - 从班级名称 '一年级97班' 中提取到年级: 1
2025-11-21 14:50:09 - analyzer - DEBUG - 从班级名称 '一年级98班' 中提取到年级: 1
2025-11-21 14:50:10 - analyzer - DEBUG - 从班级名称 '一年级99班' 中提取到年级: 1
2025-11-21 14:50:10 - analyzer - DEBUG - 从班级名称 '一年级9班' 中提取到年级: 1
2025-11-21 14:50:10 - analyzer - DEBUG - 从班级名称 '三年级100班' 中提取到年级: 3
2025-11-21 14:50:10 - analyzer - DEBUG - 从班级名称 '三年级101班' 中提取到年级: 3
2025-11-21 14:50:10 - analyzer - DEBUG - 从班级名称 '三年级102班' 中提取到年级: 3
2025-11-21 14:50:10 - analyzer - DEBUG - 从班级名称 '三年级103班' 中提取到年级: 3
2025-11-21 14:50:11 - analyzer - DEBUG - 从班级名称 '三年级104班' 中提取到年级: 3
2025-11-21 14:50:11 - analyzer - DEBUG - 从班级名称 '三年级105班' 中提取到年级: 3
2025-11-21 14:50:11 - analyzer - DEBUG - 从班级名称 '三年级106班' 中提取到年级: 3
2025-11-21 14:50:11 - analyzer - DEBUG - 从班级名称 '三年级107班' 中提取到年级: 3
2025-11-21 14:50:11 - analyzer - DEBUG - 从班级名称 '三年级108班' 中提取到年级: 3
2025-11-21 14:50:11 - analyzer - DEBUG - 从班级名称 '三年级109班' 中提取到年级: 3
2025-11-21 14:50:12 - analyzer - DEBUG - 从班级名称 '三年级10班' 中提取到年级: 3
2025-11-21 14:50:12 - analyzer - DEBUG - 从班级名称 '三年级110班' 中提取到年级: 3
2025-11-21 14:50:12 - analyzer - DEBUG - 从班级名称 '三年级111班' 中提取到年级: 3
2025-11-21 14:50:12 - analyzer - DEBUG - 从班级名称 '三年级112班' 中提取到年级: 3
2025-11-21 14:50:12 - analyzer - DEBUG - 从班级名称 '三年级113班' 中提取到年级: 3
2025-11-21 14:50:12 - analyzer - DEBUG - 从班级名称 '三年级114班' 中提取到年级: 3
2025-11-21 14:50:13 - analyzer - DEBUG - 从班级名称 '三年级115班' 中提取到年级: 3
2025-11-21 14:50:13 - analyzer - DEBUG - 从班级名称 '三年级116班' 中提取到年级: 3
2025-11-21 14:50:13 - analyzer - DEBUG - 从班级名称 '三年级117班' 中提取到年级: 3
2025-11-21 14:50:13 - analyzer - DEBUG - 从班级名称 '三年级118班' 中提取到年级: 3
2025-11-21 14:50:13 - analyzer - DEBUG - 从班级名称 '三年级119班' 中提取到年级: 3
2025-11-21 14:50:13 - analyzer - DEBUG - 从班级名称 '三年级11班' 中提取到年级: 3
2025-11-21 14:50:14 - analyzer - DEBUG - 从班级名称 '三年级120班' 中提取到年级: 3
